Team Number,A: Median HG Attempt,A: Avg. HG Made,T: Avg. HG Attempt,T: Avg. HG Made,C: Attempt Percent,C: Max Rung,C: Avg. Time,P: Avg. Speed,Avg Pts. Per Match,Playoffs Alliance,Comp Rank
3218,1,0.89,10.71,8.71,100,4,17.83,5,37.98,0,33
4472,2,1.78,11.44,8.56,77.78,3,16.14,5.44,34.018,0,34
4159,1,0.63,5.83,4.17,66.67,2,5.33,5.67,16.8602,0,35
2451,2,2.14,13.71,10.86,28.57,3,14,6.57,35.137,0,36
5199,2,2.13,14.67,12.11,77.78,4,15.33,6.75,46.407,1,37
1796,4,2.5,15.13,11,66.67,4,12.33,7.38,44.0005,1,38
3654,0,0,0,0,88.89,4,32,4.11,15.3335,0,39
2611,2,1.78,8.22,6.22,100,4,16.75,5.11,36.56,0,40
1073,2,2.22,12.88,11.33,77.78,4,24.43,5.89,45.207,0,41
3008,0,0.13,0.13,0.13,55.56,2,5.8,3.78,6.1136,0,42
4598,1,0.67,4,2.75,100,4,27.56,5,25.18,0,43
8177,2,1.11,8.38,7.13,100,4,15.22,5.44,35.7,0,44
620,2,2.13,7.67,3.83,88.89,4,18.57,5.88,31.5135,0,45
2239,2,1.44,8.14,7.29,100,4,22.44,5.13,37.34,0,46
6421,4,2.67,9.78,7,88.89,4,20,5.33,40.0135,0,47
1502,2,1.63,11.22,9.89,100,4,20,5.44,43.3,0,48
1885,2,1.22,7.44,6,100,4,16.67,5.89,33.88,0,49
1700,1,0.86,3.17,2,88.89,3,7.38,5.75,18.329,0,50
2637,3,2.5,12.5,9.13,66.67,4,14.5,5.25,40.2605,0,51
4153,0,0.33,0.43,0.33,100,4,18.25,5.56,18.98,1,52
6510,1.5,1,5.29,4.29,100,4,22.33,5.75,29.58,0,53
1138,1.5,1.75,3.5,1.5,77.78,4,21.43,5.33,23.667,1,54
5338,0,0.67,0,0,66.67,4,26.5,4.78,14.6805,0,55
2129,1,0.5,5.56,3.33,88.89,4,16.83,4.5,23.9935,0,56
8849,0,0,0,0,33.33,2,5,7.11,3.9998,0,57
8531,1.5,1.25,6.38,5.13,75,2,9,5,21.76,0,58
6024,1.5,0.63,5.17,2.17,42.86,2,7,4.88,11.4316,0,59
2626,0,0.13,0,0,77.78,4,24,5.22,14.187,0,60
6919,2,0.167,11,9,77.78,3,10,5.11,28.446,0,61
6673,2,1.11,2.22,1.22,66.67,4,34,5.78,18.8805,0,62
8742,1,0.5,3.67,3.56,66.67,2,7,4.22,15.1202,0,63
3603,2,1.33,9,7.5,75,2,5.71,6.67,26.82,0,64
7174,1,0.43,1.63,0.88,55.56,3,8.25,5.38,11.036,0,65
7504,1,0.56,7.88,5.38,100,4,12.43,4.67,30,0,66
8085,2,1.33,5.33,4.17,88.89,4,12.57,5.33,28.9935,0,67
5735,2,1.44,7.89,6.22,55.56,4,10.25,5.33,28.534,0,68
8748,0,0.25,0,0,33.33,0,16.5,4.58,3,0,69
2073,2,1.17,9.29,7.43,85.71,4,15.33,5.14,34.3965,0,70
8738,1,0.5,3,1.8,75,4,19,5,18.85,0,71
1622,2,1,3.83,2.67,88.89,4,11.31,6,24.6735,0,72
2718,1,0.75,5.33,3.33,55.56,4,8.8,5.11,19.994,0,73
7451,2,1.43,4.5,2,14.29,2,7.5,5.13,12.5774,0,74
4125,1,0.86,7.88,4.88,0,0,120,5.38,15.2,0,75
