Team Number,A: Median HG Attempt,A: Avg. HG Made,T: Avg. HG Attempt,T: Avg. HG Made,C: Attempt Percent,C: Max Rung,C: Avg. Time,P: Avg. Speed,Rank
5166,1,1,6.22,3.67,0,0,120,5.88,13.34
2582,0,0,0,0,50,4,16.34,5.13,9.5
3196,2,0.34,0,0,33.33,2,30.54,5.33,5.3598
8885,0,0,1.8,0,0,0,120,5.44,2
8709,0,0,2.67,1.35,85.71,1,35.13,5.33,8.1284
3065,0,0,3.33,2.13,66.67,2,21.24,5.44,10.2602
5458,0,0,2,0,75,4,12.22,5.89,13.25
8768,1,0,4.88,1.22,33.33,4,33.42,5.75,9.4395
5098,0,0,3,0.23,0,0,120,5.33,2.46
8732,0,0,3.83,1.45,0,0,120,4.78,4.9
5526,0,0,0,0,0,0,120,5,2
5012,1,0,4.5,0,0,0,120,4.88,2
